i		j				x				y				z
1		10				-0.208				1.18				1
1		11				-0.41				1.13				1
1		12				-0.6				1.04				1
1		13				-0.771				0.919				1
1		14				-0.919				0.771				1
1		15				-1.04				0.6				1
1		16				-1.13				0.41				1
1		17				-1.18				0.208				1
1		18				-1.2				-1.05e-07				1
1		19				-1.18				-0.208				1
1		20				-1.13				-0.41				1
1		21				-1.04				-0.6				1
1		22				-0.919				-0.771				1
1		23				-0.771				-0.919				1
1		24				-0.6				-1.04				1
1		25				-0.41				-1.13				1
1		26				-0.208				-1.18				1
1		27				5.87e-07				-1.2				1
1		28				0.208				-1.18				1
1		29				0.41				-1.13				1
1		30				0.6				-1.04				1
1		31				0.771				-0.919				1
1		32				0.919				-0.771				1
1		33				1.04				-0.6				1
1		34				1.13				-0.41				1
1		35				1.18				-0.208				1
1		36				1.2				2.1e-07				1
1		0				1.2				0				0.5
1		1				1.18				0.208				0.5
1		2				1.13				0.41				0.5
1		3				1.04				0.6				0.5
1		4				0.919				0.771				0.5
1		5				0.771				0.919				0.5
1		6				0.6				1.04				0.5
1		7				0.41				1.13				0.5
1		8				0.208				1.18				0.5
1		9				-5.25e-08				1.2				0.5
1		10				-0.208				1.18				0.5
1		11				-0.41				1.13				0.5
1		12				-0.6				1.04				0.5
1		13				-0.771				0.919				0.5
1		14				-0.919				0.771				0.5
1		15				-1.04				0.6				0.5
1		16				-1.13				0.41				0.5
1		17				-1.18				0.208				0.5
1		18				-1.2				-1.05e-07				0.5
1		19				-1.18				-0.208				0.5
1		20				-1.13				-0.41				0.5
1		21				-1.04				-0.6				0.5
1		22				-0.919				-0.771				0.5
1		23				-0.771				-0.919				0.5
1		24				-0.6				-1.04				0.5
1		25				-0.41				-1.13				0.5
1		26				-0.208				-1.18				0.5
1		27				5.87e-07				-1.2				0.5
1		28				0.208				-1.18				0.5
1		29				0.41				-1.13				0.5
1		30				0.6				-1.04				0.5
1		31				0.771				-0.919				0.5
1		32				0.919				-0.771				0.5
1		33				1.04				-0.6				0.5
1		34				1.13				-0.41				0.5
1		35				1.18				-0.208				0.5
1		36				1.2				2.1e-07				0.5
1		0				1.2				0				0
1		1				1.18				0.208				0
1		2				1.13				0.41				0
1		3				1.04				0.6				0
1		4				0.919				0.771				0
1		5				0.771				0.919				0
1		6				0.6				1.04				0
1		7				0.41				1.13				0
1		8				0.208				1.18				0
1		9				-5.25e-08				1.2				0
1		10				-0.208				1.18				0
1		11				-0.41				1.13				0
1		12				-0.6				1.04				0
1		13				-0.771				0.919				0
1		14				-0.919				0.771				0
1		15				-1.04				0.6				0
1		16				-1.13				0.41				0
1		17				-1.18				0.208				0
1		18				-1.2				-1.05e-07				0
1		19				-1.18				-0.208				0
1		20				-1.13				-0.41				0
1		21				-1.04				-0.6				0
1		22				-0.919				-0.771				0
1		23				-0.771				-0.919				0
1		24				-0.6				-1.04				0
1		25				-0.41				-1.13				0
1		26				-0.208				-1.18				0
1		27				5.87e-07				-1.2				0
1		28				0.208				-1.18				0
1		29				0.41				-1.13				0
